Section,Thk_in_gross,Area_in2Thk_in_gross,Weight_lb_ftThk_in_gross,Ixx_in4Thk_in_gross,Sxx_in3Thk_in_gross,Rx_inThk_in_gross,Iyy_in4Thk_in_gross,Ry_inThk_in_gross,Ixx_in4_33ksi,Sxx_in3_33ksi,Ma_in_k_33ksi,Va_lb_33ksi,Ycg_in_33ksi,Ixx_in4_50ksi,Sxx_in3_50ksi,Ma_in_k_50ksi,Va_lb_50ksi,Ycg_in_50ksi,Jx1000_in4_tor,Cw_in6_tor,Xo_in_tor,Ro_in_tor,beta_tor
800T100-68,0.07,0.71,2.42,5.4,1.31,2.76,0.04,0.23,5.4,1.31,29.14,392 0,4.13,5.4,1.29,38.53,3920,4.15,1.21,0.49,-0.3,2.78,0.99
800T100-97,0.1,1.02,3.45,7.75,1.85,2.76,0.05,0.22,7.75,1.85,43.11,903 7,4.18,7.75,1.85,63.97,11124,4.18,3.5,0.69,-0.29,2.79,0.99
800T150-118,0.12,1.36,4.64,11.64,2.76,2.92,0.2,0.38,11.64,2.76,62.48,12810,4.22,11.64,2.76,93,16591,4.22,7.01,2.62,-0.57,3,0.96
800T200-118,0.12,1.49,5.06,13.79,3.27,3.05,0.46,0.55,13.79,3.21,63.48,12810,4.24,13.79,3.06,91.59,16591,4.31,7.65,5.82,-0.9,3.22,0.92
800T250-43,0.05,0.59,1.99,5.63,1.38,3.1,0.33,0.75,4.59,0.74,14.6,988,5.05,0,0,0,0,0,0.4,3.87,-1.28,3.44,0.86
800T250-54,0.06,0.74,2.5,7.09,1.73,3.11,0.41,0.74,5.95,1.19,23.57,1956,4.64,5.82,0.96,28.71,1956,5.02,0.79,4.86,-1.28,3.44,0.86
800T250-68,0.07,0.93,3.15,8.98,2.18,3.11,0.51,0.74,7.92,1.65,32.57,3920,4.53,7.59,1.56,46.72,3920,4.6,1.57,6.13,-1.27,3.45,0.86
800T250-97,0.1,1.32,4.49,12.94,3.1,3.13,0.71,0.74,12.36,2.64,52.19,9037,4.41,11.87,2.49,74.47,11124,4.5,4.55,8.78,-1.27,3.46,0.87
800T300-54,0.06,0.79,2.69,8.03,1.96,3.18,0.68,0.92,6.4,1.18,23.28,1956,4.86,6.24,0.96,28.62,1956,5.23,0.85,7.94,-1.66,3.71,0.8
800T300-68,0.07,1,3.39,10.17,2.47,3.19,0.84,0.92,8.5,1.71,33.76,392 0,4.67,8.16,1.55,46.36,3920,4.82,1.69,10.04,-1.66,3.72,0.8
800T300-97,0.1,1.42,4.84,14.68,3.51,3.21,1.19,0.91,13.4,2.76,54.49,903 7,4.54,12.79,2.59,77.43,11124,4.64,4.9,14.41,-1.65,3.73,0.8
925T125-431,0.05,0.53,1.8,5.44,1.16,3.2,0.05,0.3,5.25,0.83,16.46,853,5.29,0,0,0,0,0,0.36,0.82,-0.4,3.24,0.99
925T125-54,0.06,0.66,2.26,6.83,1.45,3.21,0.06,0.3,6.71,1.34,26.49,1689,4.84,6.62,1.08,32.35,1689,5.25,0.71,1.02,-0.4,3.25,0.99
925T125-68,0.07,0.84,2.85,8.63,1.82,3.21,0.07,0.29,8.63,1.77,34.9,3384,4.79,8.53,1.71,51.03,3384,4.85,1.42,1.27,-0.4,3.25,0.99
925T125-97,0.1,1.19,4.06,12.38,2.58,3.22,0.1,0.29,12.38,2.58,58.21,9037,4.8,12.38,2.58,77.16,9870,4.8,4.11,1.79,-0.39,3.26,0.99
925T200-431,0.05,0.6,2.03,6.92,1.47,3.4,0.18,0.55,6.1,0.85,16.73,85 3,5.7,0,0,0,0,0,0.41,2.96,-0.85,3.55,0.94
925T200-54,0.06,0.75,2.55,8.71,1.84,3.41,0.23,0.55,7.86,1.36,26.94,168 9,5.23,7.71,1.1,32.87,1689,5.66,0.8,3.7,-0.85,3.56,0.94
925T200-68,0.07,0.94,3.21,11.01,2.32,3.42,0.28,0.55,10.31,1.96,38.72,338 4,5.02,10,1.79,53.69,3384,5.17,1.6,4.66,-0.85,3.56,0.94
925T200-97,0.1,1.35,4.58,15.82,3.29,3.43,0.39,0.54,15.77,3.08,60.76,903 7,4.91,15.3,2.93,87.68,9870,4.99,4.64,6.62,-0.84,3.57,0.95
1000T100-431,0.05,0.54,1.84,6.05,1.19,3.35,0.03,0.21,6.03,0.88,17.31,789,5.69,0,0,0,0,0,0.37,0.52,-0.26,3.36,0.99
1000T100-54,0.06,0.68,2.31,7.61,1.49,3.35,0.03,0.21,7.61,1.42,28.1,1561,5.18,7.61,1.13,33.95,1561,5.65,0.73,0.65,-0.26,3.37,0.99
1000T100-68,0.07,0.85,2.91,9.6,1.87,3.35,0.04,0.21,9.6,1.87,41.68,3128,5.13,9.6,1.85,55.24,3128,5.15,1.45,0.8,-0.26,3.37,0.99
1000T100-97,0.1,1.22,4.15,13.74,2.65,3.36,0.05,0.2,13.74,2.65,61.7,9037,5.18,13.74,2.65,91.54,9119,5.18,4.2,1.12,-0.25,3.37,0.99
1000T150-118,0.12,1.61,5.48,20.12,3.86,3.53,0.2,0.36,20.12,3.86,87.3,1347 9,5.22,20.12,3.86,129.95,16591,5.22,8.29,4.3,-0.5,3.59,0.98
1000T200-118,0.12,1.74,5.91,23.42,4.49,3.67,0.48,0.52,23.42,4.42,87.35,13479,5.24,23.42,4.23,126.74,16591,5.32,8.92,9.61,-0.8,3.8,0.96
1000T250-431,0.05,0.68,2.3,9.52,1.87,3.75,0.34,0.71,8.03,0.92,18.11,78 9,6.49,0,0,0,0,0,0.46,6.47,-1.15,3.99,0.92
1000T250-54,0.06,0.85,2.89,11.97,2.35,3.76,0.43,0.71,10.36,1.46,28.74,1561,6.01,10.14,1.19,35.55,1561,6.45,0.91,8.11,-1.15,3.99,0.92
1000T250-68,0.07,1.07,3.64,15.14,2.95,3.76,0.54,0.71,13.49,2.31,45.61,312 8,5.55,13.18,1.91,57.16,3128,5.95,1.81,10.21,-1.15,4,0.92
1000T250-97,0.1,1.52,5.18,21.76,4.2,3.78,0.75,0.7,20.84,3.64,72.02,9037,5.43,20.1,3.46,103.5,9119,5.52,5.25,14.56,-1.14,4.01,0.92
1000T300-54,0.06,0.91,3.08,13.43,2.63,3.85,0.71,0.89,11.08,1.45,28.69,1561,6.25,10.83,1.19,35.65,1561,6.68,0.97,13.26,-1.51,4.23,0.87
1000T300-68,0.07,1.14,3.88,16.99,3.31,3.86,0.89,0.89,14.42,2.38,46.96,3128,5.72,14.11,1.9,57.01,3128,6.19,1.93,16.73,-1.51,4.24,0.87
1000T300-97,0.1,1.63,5.53,24.43,4.72,3.88,1.26,0.88,22.44,3.8,75.04,9037,5.57,21.53,3.59,107.45,9119,5.67,5.6,23.92,-1.5,4.25,0.88
1150T125-541,0.06,0.79,2.69,11.94,2.04,3.88,0.06,0.28,11.86,1.61,31.72,135 6,6.39,11.72,1.31,39.21,1356,6.88,0.85,1.66,-0.35,3.91,0.99
1150T125-68,0.07,1,3.39,15.07,2.57,3.89,0.07,0.27,15.07,2.5,49.44,2716,5.92,15.02,2.1,62.97,2716,6.32,1.69,2.07,-0.34,3.91,0.99
1150T125-97,0.1,1.42,4.84,21.57,3.64,3.9,0.1,0.27,21.57,3.64,82.18,7913,5.93,21.57,3.64,108.93,7913,5.93,4.9,2.89,-0.34,3.92,0.99
1150T200-541,0.06,0.88,2.98,14.82,2.53,4.11,0.23,0.52,13.69,1.65,32.51,1356,6.81,13.45,1.35,40.39,1356,7.29,0.94,6.09,-0.75,4.21,0.97
1150T200-68,0.07,1.1,3.76,18.71,3.19,4.12,0.29,0.51,17.66,2.71,53.52,2716,6.19,17.39,2.16,64.57,2716,6.74,1.87,7.64,-0.75,4.22,0.97
1150T200-97,0.1,1.57,5.36,26.84,4.53,4.13,0.41,0.51,26.74,4.26,84.17,7913,6.05,26.03,4.08,122.2,7913,6.13,5.43,10.83,-0.74,4.23,0.97
1200T100-541,0.06,0.79,2.69,12.29,2.02,3.94,0.03,0.2,12.29,1.62,32.08,129 9,6.62,12.29,1.33,39.87,1299,7.11,0.85,0.97,-0.23,3.95,1
1200T100-68,0.07,1,3.39,15.5,2.53,3.94,0.04,0.2,15.5,2.53,50.02,2602,6.13,15.5,2.12,63.51,2602,6.56,1.69,1.2,-0.23,3.96,1
1200T100-97,0.1,1.42,4.84,22.17,3.59,3.95,0.05,0.19,22.17,3.59,83.43,7579,6.18,22.17,3.59,123.8,7579,6.18,4.9,1.66,-0.22,3.96,1
1200T150-118,0.12,1.86,6.33,31.83,5.12,4.14,0.21,0.34,31.83,5.12,115.86,13479,6.22,31.83,5.12,172.47,13844,6.22,9.56,6.44,-0.44,4.17,0.99
1200T200-118,0.12,1.98,6.75,36.53,5.88,4.29,0.49,0.5,36.53,5.79,114.5,1347 9,6.25,36.53,5.57,166.87,13844,6.32,10.2,14.48,-0.72,4.38,0.97
1200T250-541,0.06,0.96,3.27,18.55,3.04,4.39,0.45,0.68,16.43,1.72,34.02,1299,7.44,15.81,1.42,42.49,1299,7.92,1.03,12.32,-1.05,4.57,0.95
1200T250-68,0.07,1.21,4.12,23.44,3.83,4.4,0.56,0.68,21.26,2.79,55.2,2602,6.82,20.87,2.26,67.52,2602,7.37,2.05,15.5,-1.04,4.57,0.95
1200T250-97,0.1,1.73,5.88,33.62,5.44,4.41,0.78,0.67,32.29,4.79,94.55,7579,6.44,31.23,4.56,136.64,7579,6.54,5.95,22.04,-1.04,4.58,0.95
1200T300-541,0.06,1.02,3.46,20.64,3.38,4.5,0.75,0.86,17.49,1.73,34.15,129 9,7.69,16.17,1.43,42.74,1299,8.16,1.09,20.18,-1.38,4.79,0.92
1200T300-68,0.07,1.28,4.36,26.08,4.26,4.51,0.93,0.85,22.7,2.79,55.04,2602,7.08,22.23,2.26,67.76,260 2,7.62,2.17,25.42,-1.38,4.79,0.92
1200T300-97,0.1,1.83,6.22,37.44,6.06,4.53,1.31,0.85,34.58,4.98,98.33,7579,6.59,33.3,4.73,141.62,7579,6.69,6.3,36.25,-1.37,4.8,0.92
1350T125-541,0.06,0.91,3.08,18.15,2.65,4.48,0.06,0.26,18.15,1.84,36.36,1154,7.84,17.77,1.52,45.59,1154,8.36,0.97,2.36,-0.31,4.5,1
1350T125-68,0.07,1.14,3.88,22.89,3.33,4.48,0.08,0.26,22.89,2.98,58.82,2310,7.17,22.89,2.4,71.96,2310,7.77,1.93,2.95,-0.31,4.5,1
1350T125-97,0.1,1.63,5.53,32.74,4.73,4.49,0.1,0.25,32.74,4.73,106.74,6728,6.93,32.74,4.73,141.49,6728,6.93,5.6,4.11,-0.3,4.51,1
1350T200-541,0.06,0.99,3.37,22.1,3.23,4.73,0.24,0.49,20.73,1.91,37.66,115 4,8.26,19.14,1.58,47.2,1154,8.78,1.06,8.76,-0.69,4.8,0.98
1350T200-68,0.07,1.25,4.24,27.9,4.06,4.73,0.3,0.49,26.7,3.07,60.7,2310,7.59,26.29,2.49,74.66,2310,8.18,2.11,10.99,-0.68,4.8,0.98
1350T200-97,0.1,1.78,6.05,39.95,5.77,4.74,0.42,0.49,39.81,5.46,107.84,672 8,7.05,38.84,5.25,157.22,6728,7.13,6.13,15.54,-0.68,4.81,0.98
1400T100-541,0.06,0.91,3.08,18.56,2.62,4.53,0.03,0.19,18.56,1.85,36.54,1112,8.09,17.64,1.54,46.08,1112,8.61,0.97,1.35,-0.2,4.54,1
1400T100-68,0.07,1.14,3.88,23.4,3.29,4.53,0.04,0.18,23.4,2.92,57.69,2227,7.46,23.4,2.41,72.13,2227,8.02,1.93,1.68,-0.2,4.54,1
1400T100-97,0.1,1.63,5.53,33.44,4.66,4.54,0.05,0.18,33.44,4.66,108.32,6485,7.18,33.44,4.66,139.49,6485,7.18,5.6,2.32,-0.2,4.54,1
1400T125-541,0.06,0.93,3.18,19.98,2.81,4.63,0.06,0.26,19.98,1.9,37.56,111 2,8.21,18.92,1.58,47.21,1112,8.74,1,2.56,-0.3,4.64,1
1400T125-68,0.07,1.18,4,25.2,3.54,4.63,0.08,0.25,25.2,3.06,60.4,2227,7.53,25.2,2.48,74.31,2227,8.13,1.99,3.19,-0.3,4.65,1
1400T125-97,0.1,1.68,5.7,36.02,5.02,4.64,0.1,0.25,36.02,5.02,113.36,6485,7.18,36.02,5.02,150.26,6485,7.18,5.78,4.45,-0.29,4.65,1
1400T150-541,0.06,0.96,3.27,21.39,3.01,4.72,0.11,0.33,21,1.93,38.2,1112,8.34,19.57,1.6,47.97,1112,8.88,1.03,4.28,-0.41,4.75,0.99
1400T150-68,0.07,1.21,4.12,26.99,3.79,4.72,0.13,0.33,26.89,3.11,61.48,2227,7.66,26.6,2.53,75.66,2227,8.27,2.05,5.35,-0.41,4.75,0.99
1400T150-97,0.1,1.73,5.88,38.61,5.38,4.73,0.18,0.32,38.61,5.38,106.28,6485,7.18,38.61,5.25,157.18,6485,7.23,5.95,7.5,-0.41,4.76,0.99
1400T150-118,0.12,2.11,7.17,47.25,6.55,4.73,0.21,0.32,47.25,6.55,148.18,11840,7.22,47.25,6.55,220.58,11840,7.22,10.84,9.05,-0.4,4.76,0.99
1400T200-541,0.06,1.02,3.46,24.22,3.41,4.88,0.24,0.49,22.79,1.97,38.97,111 2,8.62,20.51,1.63,48.92,1112,9.16,1.09,9.51,-0.67,4.95,0.98
1400T200-68,0.07,1.28,4.36,30.57,4.29,4.88,0.3,0.49,29.34,3.17,62.56,2227,7.94,28.9,2.58,77.23,2227,8.55,2.17,11.93,-0.67,4.95,0.98
1400T200-97,0.1,1.83,6.22,43.77,6.1,4.89,0.42,0.48,43.62,5.78,114.18,648 5,7.3,42.63,5.46,163.32,6485,7.44,6.3,16.86,-0.66,4.96,0.98
1400T200-118,0.12,2.23,7.6,53.61,7.43,4.9,0.5,0.48,53.61,7.33,144.92,11840,7.25,53.61,7.08,211.96,11840,7.33,11.48,20.45,-0.66,4.97,0.98
1400T250-541,0.06,1.08,3.66,27.05,3.81,5.02,0.46,0.65,24.39,1.99,39.4,1112,8.9,21.28,1.65,49.5,1112,9.43,1.15,17.53,-0.96,5.15,0.97
1400T250-68,0.07,1.35,4.61,34.15,4.79,5.02,0.57,0.65,31.51,3.19,63.03,2227,8.22,30.94,2.61,78.11,2227,8.82,2.29,22.03,-0.96,5.16,0.97
1400T250-97,0.1,1.93,6.57,48.94,6.82,5.04,0.8,0.65,47.12,6.06,119.78,6485,7.45,45.93,5.47,163.69,6485,7.73,6.65,31.27,-0.95,5.17,0.97
1400T300-541,0.06,1.13,3.85,29.88,4.21,5.14,0.77,0.83,25.86,2.01,39.68,111 2,9.15,21.95,1.67,49.87,1112,9.68,1.21,28.76,-1.28,5.36,0.94
1400T300-68,0.07,1.43,4.85,37.74,5.3,5.15,0.96,0.82,33.49,3.2,63.27,2227,8.49,32.82,2.63,78.65,222 7,9.08,2.42,36.2,-1.27,5.37,0.94
1400T300-97,0.1,2.03,6.91,54.11,7.54,5.16,1.35,0.82,50.21,6.29,124.32,6485,7.61,48.93,5.46,163.51,6485,8.01,7.01,51.52,-1.27,5.38,0.95
1600T125-681,0.07,1.32,4.48,35.92,4.42,5.22,0.08,0.24,35.92,3.4,67.11,1947,8.98,35.92,2.8,83.94,1947,9.61,2.23,4.28,-0.27,5.23,1
1600T125-97,0.1,1.88,6.39,51.32,6.28,5.23,0.11,0.24,51.32,6.28,141.75,5666,8.18,51.32,5.7,170.69,5666,8.49,6.48,5.96,-0.27,5.24,1
1600T125-118,0.12,2.29,7.81,62.76,7.64,5.23,0.13,0.23,62.76,7.64,176.99,10343,8.22,62.76,7.64,262.71,10343,8.22,11.8,7.14,-0.26,5.24,1
1600T200-681,0.07,1.43,4.85,42.91,5.28,5.49,0.31,0.46,41.58,3.55,70.23,194 7,9.38,40.98,2.93,87.65,1947,10.02,2.42,16.12,-0.61,5.54,0.99
1600T200-97,0.1,2.03,6.91,61.4,7.51,5.5,0.43,0.46,61.18,7.15,141.2,5666,8.3,60.32,6.04,180.68,5666,8.85,7.01,22.74,-0.61,5.55,0.99
1600T200-118,0.12,2.48,8.44,75.15,9.15,5.5,0.51,0.46,75.15,9.04,178.61,10343,8.25,75.15,8.75,262.02,10343,8.33,12.76,27.55,-0.6,5.56,0.99
