Section,Thk_in_gross,Area_in2Thk_in_gross,Weight_lb_ftThk_in_gross,Ixx_in4Thk_in_gross,Sxx_in3Thk_in_gross,Rx_inThk_in_gross,Iyy_in4Thk_in_gross,Ry_inThk_in_gross,Ixx_in4_33ksi,Sxx_in3_33ksi,Ma_in_k_33ksi,Va_lb_33ksi,Ycg_in_33ksi,Ixx_in4_50ksi,Sxx_in3_50ksi,Ma_in_k_50ksi,Va_lb_50ksi,Ycg_in_50ksi,Jx1000_in4_tor,Cw_in6_tor,Xo_in_tor,Ro_in_tor,beta_tor
350S250-97,0.1,0.92,3.11,1.87,1.07,1.43,0.76,0.91,1.87,1.07,24.09,4016,1.75,1.87,1.02,34.27,6085,1.79,3.15,2.25,-2.22,2.79,0.37
362S137-97,0.1,0.65,2.2,1.23,0.68,1.38,0.14,0.46,1.23,0.68,16.75,4184,1.81,1.23,0.68,24.67,6339,1.81,2.23,0.38,-0.98,1.75,0.69
362S162-97,0.1,0.72,2.46,1.44,0.79,1.41,0.24,0.58,1.44,0.79,19,4184,1.81,1.44,0.79,28.08,6339,1.81,2.5,0.7,-1.29,1.99,0.58
362S200-97,0.1,0.83,2.81,1.71,0.94,1.44,0.45,0.74,1.71,0.94,21.95,4184,1.81,1.71,0.94,32.57,6339,1.81,2.85,1.4,-1.72,2.36,0.47
362S250-43,0.05,0.43,1.46,0.98,0.54,1.51,0.39,0.95,0.98,0.48,9.39,1777,1.91,0,0,0,0,0,0.29,1.22,-2.23,2.85,0.39
362S250-54,0.06,0.54,1.82,1.21,0.67,1.5,0.47,0.94,1.21,0.6,11.92,2497,1.89,1.2,0.55,16.4,3446,1.97,0.57,1.49,-2.22,2.84,0.39
362S250-68,0.07,0.67,2.27,1.49,0.82,1.5,0.58,0.93,1.49,0.8,15.72,3076,1.84,1.49,0.69,20.58,4661,1.95,1.13,1.81,-2.21,2.83,0.39
362S250-97,0.1,0.93,3.16,2.03,1.12,1.48,0.77,0.91,2.03,1.12,25.21,4184,1.81,2.03,1.07,35.85,6339,1.85,3.2,2.4,-2.2,2.8,0.39
400S137-97,0.1,0.69,2.33,1.56,0.78,1.51,0.14,0.45,1.56,0.78,19.23,4687,2,1.56,0.78,28.33,7102,2,2.37,0.47,-0.94,1.83,0.74
400S162-97,0.1,0.76,2.59,1.81,0.91,1.54,0.25,0.57,1.81,0.91,21.75,4687,2,1.81,0.91,32.15,7102,2,2.63,0.86,-1.24,2.06,0.64
400S200-97,0.1,0.86,2.94,2.16,1.08,1.58,0.46,0.73,2.16,1.08,25.05,4687,2,2.16,1.08,37.17,7102,2,2.98,1.7,-1.67,2.41,0.52
400S250-43,0.05,0.45,1.52,1.22,0.61,1.66,0.4,0.95,1.22,0.54,10.66,1777,2.11,0,0,0,0,0,0.3,1.47,-2.17,2.89,0.44
400S250-54,0.06,0.56,1.89,1.51,0.76,1.65,0.49,0.94,1.51,0.68,13.5,2777,2.09,1.5,0.62,18.64,3446,2.16,0.59,1.8,-2.16,2.88,0.44
400S250-68,0.07,0.69,2.36,1.86,0.93,1.64,0.6,0.93,1.86,0.9,17.81,3429,2.03,1.86,0.78,23.39,5196,2.15,1.17,2.19,-2.15,2.86,0.43
400S250-97,0.1,0.97,3.29,2.54,1.27,1.62,0.8,0.91,2.54,1.27,28.64,4687,2,2.54,1.21,40.7,7102,2.05,3.33,2.92,-2.13,2.83,0.43
550S137-33,0.03,0.3,1.02,1.28,0.47,2.06,0.07,0.47,1.28,0.45,8.9,670,2.79,0,0,0,0,0,0.12,0.41,-0.86,2.29,0.86
550S137-43,0.05,0.39,1.33,1.66,0.6,2.06,0.09,0.47,1.66,0.59,13.08,1487,2.77,0,0,0,0,0,0.27,0.51,-0.85,2.28,0.86
550S137-54,0.06,0.49,1.65,2.04,0.74,2.05,0.1,0.46,2.04,0.74,16.77,2799,2.75,2.04,0.71,24.03,2967,2.79,0.52,0.62,-0.84,2.26,0.86
550S137-68,0.07,0.6,2.05,2.5,0.91,2.04,0.12,0.45,2.5,0.91,21.22,4442,2.75,2.5,0.91,31.42,5468,2.75,1.02,0.75,-0.83,2.24,0.86
550S137-97,0.1,0.84,2.85,3.38,1.23,2.01,0.16,0.43,3.38,1.23,30.35,6701,2.75,3.38,1.23,44.72,10153,2.75,2.89,0.97,-0.81,2.21,0.87
550S162-97,0.1,0.92,3.11,3.89,1.41,2.06,0.28,0.55,3.89,1.41,33.91,6701,2.75,3.89,1.41,50.13,10153,2.75,3.15,1.72,-1.08,2.39,0.8
550S200-33,0.03,0.36,1.23,1.69,0.62,2.16,0.2,0.75,1.68,0.56,10.99,670,2.86,0,0,0,0,0,0.14,1.31,-1.53,2.76,0.69
550S200-43,0.05,0.47,1.6,2.19,0.8,2.16,0.26,0.75,2.19,0.78,15.33,1487,2.78,0,0,0,0,0,0.32,1.67,-1.52,2.74,0.69
550S200-54,0.06,0.59,1.99,2.71,0.98,2.15,0.32,0.74,2.71,0.98,21.41,2799,2.75,2.71,0.89,26.62,2967,2.86,0.62,2.05,-1.51,2.73,0.69
550S200-68,0.07,0.73,2.48,3.34,1.22,2.14,0.39,0.73,3.34,1.22,27.03,4442,2.75,3.34,1.17,38.83,5468,2.79,1.24,2.49,-1.5,2.72,0.7
550S200-97,0.1,1.02,3.46,4.56,1.66,2.12,0.52,0.71,4.56,1.66,38.58,6701,2.75,4.56,1.66,57.25,10153,2.75,3.5,3.3,-1.48,2.68,0.7
550S250-43,0.05,0.52,1.75,2.52,0.92,2.22,0.45,0.93,2.52,0.82,16.15,1487,2.88,0,0,0,0,0,0.35,2.81,-1.96,3.1,0.6
550S250-54,0.06,0.64,2.18,3.13,1.14,2.21,0.55,0.92,3.13,1.03,20.4,2799,2.86,3.08,0.95,28.44,2967,2.95,0.69,3.45,-1.95,3.09,0.6
550S250-68,0.07,0.8,2.72,3.87,1.41,2.2,0.67,0.91,3.87,1.36,26.83,4442,2.79,3.87,1.19,35.71,5468,2.93,1.36,4.21,-1.94,3.07,0.6
550S250-97,0.1,1.12,3.8,5.3,1.93,2.18,0.9,0.9,5.3,1.92,43.47,6701,2.75,5.3,1.84,61.77,10153,2.81,3.86,5.64,-1.92,3.04,0.6
600S162-118,0.12,1.16,3.94,5.65,1.88,2.21,0.32,0.53,5.65,1.88,46.82,8819,3,5.65,1.88,68.94,13361,3,5.96,2.4,-1.02,2.49,0.83
600S200-118,0.12,1.28,4.36,6.64,2.21,2.28,0.61,0.69,6.64,2.21,53.05,8819,3,6.64,2.21,78.44,13361,3,6.6,4.61,-1.41,2.77,0.74
600S250-118,0.12,1.41,4.79,7.71,2.57,2.34,1.08,0.87,7.71,2.57,59.58,8819,3,7.71,2.5,85.92,13361,3.04,7.23,7.92,-1.84,3.1,0.65
600S300-54,0.06,0.73,2.47,4.32,1.44,2.44,0.88,1.1,4.27,1.21,23.93,2708,3.21,4.01,1.11,33.13,2708,3.31,0.78,6.39,-2.33,3.55,0.57
600S300-68,0.07,0.91,3.09,5.35,1.79,2.43,1.08,1.09,5.35,1.53,30.14,4442,3.19,5.14,1.45,43.3,5468,3.25,1.54,7.84,-2.32,3.53,0.57
600S300-97,0.1,1.27,4.32,7.38,2.46,2.41,1.45,1.07,7.38,2.35,52.07,7372,3.06,7.3,2.18,65.26,11124,3.15,4.38,10.57,-2.3,3.5,0.57
600S300-118,0.12,1.53,5.21,8.79,2.93,2.4,1.7,1.06,8.79,2.84,64.29,8819,3.04,8.79,2.8,83.94,13361,3.06,7.87,12.38,-2.28,3.47,0.57
600S350-54,0.06,0.83,2.81,5.02,1.67,2.47,1.49,1.34,4.92,1.44,28.48,2708,3.18,4.72,1.32,39.62,2708,3.29,0.88,12.84,-3.07,4.16,0.46
600S350-68,0.07,1.03,3.51,6.24,2.08,2.46,1.84,1.34,6.24,1.95,38.5,4442,3.08,6.17,1.76,52.73,5468,3.21,1.75,15.81,-3.06,4.15,0.46
600S350-97,0.1,1.45,4.93,8.63,2.88,2.44,2.52,1.32,8.63,2.82,61.55,7372,3.03,8.63,2.54,75.95,11124,3.16,4.99,21.5,-3.04,4.12,0.45
600S350-118,0.12,1.75,5.95,10.3,3.44,2.43,2.98,1.31,10.3,3.44,76.39,8819,3,10.3,3.3,98.88,13361,3.06,8.99,25.34,-3.03,4.1,0.45
725S162-331,0.03,0.39,1.32,2.82,0.78,2.7,0.12,0.56,2.82,0.69,13.65,503,3.82,0,0,0,0,0,0.16,1.3,-1,2.93,0.88
725S162-43,0.05,0.5,1.71,3.65,1.01,2.69,0.16,0.56,3.65,1,21.75,1116,3.63,0,0,0,0,0,0.34,1.65,-0.99,2.92,0.89
725S162-54,0.06,0.63,2.13,4.51,1.25,2.68,0.19,0.55,4.51,1.25,27.63,2222,3.63,4.51,1.21,36.29,2222,3.66,0.67,2.01,-0.98,2.91,0.89
725S162-68,0.07,0.78,2.66,5.57,1.54,2.67,0.23,0.54,5.57,1.54,35.04,4442,3.63,5.57,1.52,51.65,4489,3.64,1.33,2.44,-0.97,2.89,0.89
725S162-97,0.1,1.09,3.72,7.62,2.1,2.64,0.3,0.52,7.62,2.1,50.43,9050,3.63,7.62,2.1,74.54,11124,3.63,3.77,3.21,-0.95,2.85,0.89
725S200-331,0.03,0.42,1.44,3.24,0.89,2.77,0.22,0.72,3.24,0.74,14.59,503,3.92,0,0,0,0,0,0.17,2.37,-1.37,3.17,0.82
725S200-43,0.05,0.55,1.87,4.19,1.16,2.77,0.28,0.72,4.19,1.13,22.34,1116,3.66,0,0,0,0,0,0.37,3.03,-1.35,3.16,0.82
725S200-54,0.06,0.68,2.33,5.2,1.43,2.76,0.35,0.71,5.2,1.43,31.18,2222,3.63,5.2,1.31,39.09,2222,3.75,0.73,3.71,-1.35,3.15,0.82
725S200-68,0.07,0.85,2.9,6.43,1.77,2.74,0.42,0.7,6.43,1.77,39.46,4442,3.63,6.43,1.71,56.77,4489,3.68,1.45,4.53,-1.33,3.13,0.82
725S200-97,0.1,1.19,4.06,8.83,2.44,2.72,0.56,0.69,8.83,2.44,56.64,9050,3.63,8.83,2.44,84.04,11124,3.63,4.12,6.04,-1.31,3.1,0.82
725S250-43,0.05,0.59,2.02,4.78,1.32,2.84,0.49,0.91,4.78,1.19,23.44,1116,3.77,0,0,0,0,0,0.4,5.09,-1.77,3.46,0.74
725S250-54,0.06,0.74,2.52,5.93,1.64,2.83,0.6,0.9,5.93,1.5,29.55,2222,3.75,5.81,1.39,41.55,2222,3.85,0.79,6.25,-1.76,3.45,0.74
725S250-68,0.07,0.93,3.15,7.35,2.03,2.82,0.73,0.89,7.35,1.96,38.72,4442,3.68,7.35,1.74,52.2,4489,3.84,1.57,7.66,-1.75,3.43,0.74
725S250-97,0.1,1.3,4.41,10.13,2.79,2.8,0.98,0.87,10.13,2.79,62.98,9050,3.63,10.13,2.67,89.66,11124,3.69,4.47,10.3,-1.72,3.4,0.74
800S162-118,0.12,1.41,4.79,11.5,2.88,2.86,0.35,0.5,11.5,2.88,71.47,12097,4,11.5,2.88,105.23,16591,4,7.23,4.63,-0.88,3.03,0.92
800S200-118,0.12,1.53,5.21,13.32,3.33,2.95,0.67,0.66,13.32,3.33,79.78,12097,4,13.32,3.33,117.95,16591,4,7.87,8.75,-1.24,3.27,0.86
800S250-118,0.12,1.66,5.63,15.24,3.81,3.04,1.18,0.84,15.24,3.81,88.31,12097,4,15.24,3.71,127.5,16591,4.04,8.51,15.02,-1.64,3.55,0.79
800S300-54,0.06,0.84,2.86,8.36,2.09,3.16,0.96,1.07,8.25,1.79,35.28,2006,4.24,7.86,1.54,45.96,2006,4.5,0.9,11.96,-2.1,3.94,0.72
800S300-68,0.07,1.05,3.57,10.38,2.6,3.15,1.18,1.06,10.38,2.25,44.43,4048,4.22,9.93,2.15,64.21,4048,4.29,1.78,14.71,-2.09,3.92,0.72
800S300-97,0.1,1.47,5.02,14.38,3.59,3.12,1.6,1.04,14.38,3.44,76.21,9037,4.07,14.2,3.22,96.27,11124,4.17,5.08,19.94,-2.07,3.89,0.72
800S300-118,0.12,1.78,6.05,17.17,4.29,3.11,1.87,1.03,17.17,4.17,94.33,12097,4.05,17.17,4.12,123.27,16591,4.07,9.15,23.45,-2.05,3.86,0.72
800S350-54,0.06,0.94,3.19,9.68,2.42,3.21,1.65,1.33,9.48,2.11,41.74,2006,4.21,9.18,1.85,55.47,2006,4.44,1,22.72,-2.8,4.46,0.61
800S350-68,0.07,1.17,4,12.05,3.01,3.2,2.03,1.32,12.05,2.84,56.07,4048,4.1,11.91,2.58,77.37,4048,4.24,1.99,28.03,-2.79,4.45,0.61
800S350-97,0.1,1.65,5.62,16.74,4.18,3.18,2.78,1.3,16.74,4.1,89.43,9037,4.04,16.74,3.71,111.11,11124,4.2,5.7,38.28,-2.77,4.41,0.61
800S350-118,0.12,2,6.79,20.04,5.01,3.17,3.3,1.29,20.04,5.01,111.44,12097,4,20.04,4.81,144.08,16591,4.07,10.27,45.25,-2.75,4.39,0.61
925S162-43,0.05,0.59,2.02,6.62,1.43,3.34,0.17,0.53,6.62,1.32,26.07,868,4.8,0,0,0,0,,0.4,2.85,-0.87,3.49,0.94
925S162-54,0.06,0.74,2.52,8.2,1.77,3.33,0.2,0.52,8.2,1.77,39.35,1726,4.63,8.2,1.6,47.85,1726,4.83,0.79,3.49,-0.86,3.48,0.94
925S162-68,0.07,0.93,3.15,10.15,2.19,3.31,0.24,0.51,10.15,2.19,50.02,3479,4.63,10.15,2.18,73.78,3479,4.64,1.57,4.24,-0.85,3.46,0.94
925S162-97,0.1,1.3,4.41,13.95,3.02,3.28,0.32,0.49,13.95,3.02,72.36,9037,4.63,13.95,3.02,106.97,10272,4.63,4.47,5.61,-0.83,3.42,0.94
925S200-43,0.05,0.64,2.17,7.52,1.63,3.43,0.3,0.69,7.52,1.47,29.08,868,4.83,0,0,0,0,0,0.43,5.2,-1.21,3.7,0.89
925S200-54,0.06,0.8,2.71,9.33,2.02,3.42,0.37,0.68,9.33,2.02,43.89,1726,4.63,9.33,1.68,50.3,1726,4.98,0.85,6.38,-1.2,3.69,0.89
925S200-68,0.07,1,3.39,11.57,2.5,3.41,0.45,0.67,11.57,2.5,55.66,3479,4.63,11.57,2.42,80.26,3479,4.68,1.69,7.79,-1.19,3.67,0.9
925S200-97,0.1,1.4,4.76,15.96,3.45,3.38,0.6,0.65,15.96,3.45,80.25,9037,4.63,15.96,3.45,119.07,10272,4.63,4.82,10.44,-1.17,3.63,0.9
925S250-43,0.05,0.68,2.33,8.47,1.83,3.52,0.52,0.87,8.47,1.5,29.69,868,5.02,0,0,0,0,0,0.46,8.73,-1.59,3.96,0.84
925S250-54,0.06,0.85,2.9,10.53,2.28,3.51,0.64,0.87,10.53,2.1,41.42,1726,4.77,10.47,1.75,52.27,1726,5.14,0.91,10.74,-1.58,3.95,0.84
925S250-68,0.07,1.07,3.63,13.07,2.83,3.5,0.78,0.86,13.07,2.74,54.09,3479,4.68,13.07,2.47,73.79,3479,4.86,1.81,13.19,-1.57,3.93,0.84
925S250-97,0.1,1.5,5.1,18.09,3.91,3.47,1.05,0.84,18.09,3.9,88.16,9037,4.63,18.09,3.74,125.86,10272,4.7,5.17,17.82,-1.55,3.89,0.84
1000S137-431,0.05,0.59,2.02,7.23,1.45,3.49,0.1,0.41,7.23,1.25,24.78,802,5.32,0,0,0,0,0,0.4,2,-0.62,3.57,0.97
1000S137-54,0.06,0.74,2.52,8.96,1.79,3.48,0.12,0.4,8.96,1.79,35.4,1593,5,8.96,1.53,45.67,1593,5.35,0.79,2.43,-0.61,3.55,0.97
1000S137-68,0.07,0.93,3.15,11.08,2.22,3.46,0.14,0.39,11.08,2.22,51.65,3209,5,11.08,2.22,66.32,3209,5,1.57,2.94,-0.6,3.53,0.97
1000S162-118,0.12,1.66,5.63,20.17,4.03,3.49,0.36,0.47,20.17,4.03,100.24,13479,5,20.17,4.03,147.59,16591,5,8.51,7.75,-0.78,3.61,0.95
1000S200-118,0.12,1.78,6.05,23.05,4.61,3.6,0.7,0.63,23.05,4.61,110.5,13479,5,23.05,4.61,163.36,16591,5,9.15,14.53,-1.1,3.82,0.92
1000S250-118,0.12,1.9,6.48,26.08,5.22,3.7,1.25,0.81,26.08,5.22,120.89,13479,5,26.08,5.08,174.83,16591,5.05,9.79,24.96,-1.47,4.07,0.87
1000S300-54,0.06,0.95,3.24,14.08,2.82,3.84,1.02,1.04,13.94,2.31,45.69,1593,5.39,13.44,1.9,56.96,1593,5.83,1.02,19.72,-1.92,4.42,0.81
1000S300-68,0.07,1.19,4.06,17.51,3.5,3.83,1.26,1.03,17.5,3.07,60.65,3209,5.25,16.96,2.8,83.89,3209,5.44,2.02,24.28,-1.9,4.4,0.81
1000S300-97,0.1,1.68,5.71,24.32,4.86,3.81,1.7,1.01,24.32,4.67,103.39,9037,5.08,24.01,4.39,131.43,9461,5.19,5.78,33.03,-1.88,4.36,0.81
1000S300-118,0.12,2.03,6.9,29.11,5.82,3.79,2,0.99,29.11,5.66,128.16,13479,5.05,29.11,5.6,167.61,16591,5.08,10.43,38.93,-1.86,4.34,0.82
1000S350-54,0.06,1.05,3.58,16.22,3.24,3.93,1.77,1.3,15.95,2.75,54.42,1593,5.33,15.59,2.31,69.2,1593,5.73,1.12,36.31,-2.57,4.87,0.72
1000S350-68,0.07,1.32,4.48,20.2,4.04,3.92,2.19,1.29,20.2,3.82,75.57,3209,5.11,20.03,3.4,101.81,3209,5.35,2.23,44.85,-2.56,4.85,0.72
1000S350-97,0.1,1.86,6.31,28.15,5.63,3.9,2.99,1.27,28.15,5.52,120.32,9037,5.04,28.15,5.03,150.5,9461,5.22,6.4,61.43,-2.54,4.82,0.72
1000S350-118,0.12,2.25,7.64,33.77,6.75,3.88,3.54,1.26,33.77,6.75,150.23,13479,5,33.77,6.49,194.36,16591,5.08,11.54,72.77,-2.52,4.8,0.72
1150S162-54,0.06,0.87,2.95,14.13,2.46,4.04,0.21,0.49,14.13,2.25,44.47,1380,5.97,14.13,1.95,58.24,1380,6.35,0.93,5.71,-0.76,4.14,0.97
1150S162-68,0.07,1.09,3.69,17.52,3.05,4.02,0.25,0.48,17.52,3.05,69.47,2777,5.75,17.52,2.85,85.31,2777,5.92,1.84,6.96,-0.75,4.12,0.97
1150S162-97,0.1,1.53,5.19,24.19,4.21,3.98,0.33,0.46,24.19,4.21,100.94,8170,5.75,24.19,4.21,149.21,8170,5.75,5.26,9.24,-0.73,4.08,0.97
1150S200-54,0.06,0.92,3.14,15.9,2.77,4.15,0.39,0.65,15.9,2.56,50.6,1380,5.95,15.9,2.06,61.62,1380,6.49,0.99,10.41,-1.07,4.33,0.94
1150S200-68,0.07,1.16,3.94,19.75,3.43,4.13,0.48,0.64,19.75,3.43,76.42,2777,5.75,19.75,3.15,94.2,2777,5.97,1.96,12.75,-1.06,4.31,0.94
1150S200-97,0.1,1.63,5.53,27.35,4.76,4.1,0.63,0.62,27.35,4.76,110.59,8170,5.75,27.35,4.76,164.08,8170,5.75,5.61,17.13,-1.04,4.28,0.94
1150S250-54,0.06,0.98,3.34,17.75,3.09,4.25,0.68,0.83,17.75,2.58,50.94,1380,6.19,17.75,2.15,64.31,1380,6.65,1.05,17.57,-1.43,4.56,0.9
1150S250-68,0.07,1.23,4.18,22.08,3.84,4.24,0.83,0.82,22.08,3.73,73.64,2777,5.81,22.08,3.03,90.62,2777,6.31,2.08,21.6,-1.41,4.55,0.9
1150S250-97,0.1,1.73,5.88,30.65,5.33,4.21,1.11,0.8,30.65,5.32,120.16,8170,5.75,30.65,5.12,172.09,8170,5.84,5.96,29.27,-1.39,4.51,0.91
1200S137-541,0.06,0.85,2.9,14.28,2.38,4.09,0.12,0.38,14.28,2.09,41.31,1321,6.34,14.28,1.8,53.85,1321,6.74,0.911   3,0.68,-0.54,4.14,0.98
1200S137-68,0.07,1.07,3.63,17.7,2.95,4.07,0.14,0.37,17.7,2.95,58.29,2658,6,17.7,2.65,79.26,2658,6.28,1.809   4,0.46,-0.53,4.12,0.98
1200S137-97,0.1,1.5,5.1,24.38,4.06,4.03,0.18,0.35,24.38,4.06,100.36,7814,6,24.38,4.06,147.87,7814,6,5.170   5,0.85,-0.51,4.08,0.98
1200S162-118,0.12,1.9,6.48,32.15,5.36,4.11,0.38,0.44,32.15,5.36,133.14,13479,6,32.15,5.36,196.02,14373,6,9.788 11.,794,-0.7,4.19,0.97
1200S200-118,0.12,2.03,6.9,36.35,6.06,4.23,0.73,0.6,36.35,6.06,145.19,13479,6,36.35,6.06,214.65,14373,6,10.427 22,0.05,-1,4.39,0.95
1200S250-118,0.12,2.15,7.32,40.73,6.79,4.35,1.31,0.78,40.73,6.79,157.31,13479,6,40.73,6.62,227.88,14373,6.05,11.065 37,0.92,-1.35,4.62,0.92
1200S300-541,0.06,1.07,3.63,21.7,3.62,4.51,1.07,1,21.65,2.74,54.06,1321,6.71,20.82,2.27,68.04,1321,7.2,1.138 29.,820,-1.76,4.95,0.87
1200S300-68,0.07,1.34,4.54,27.02,4.5,4.5,1.32,0.99,27.02,3.91,77.32,2658,6.32,26.51,3.32,99.32,2658,6.76,2.262 36.,764,-1.75,4.93,0.87
1200S300-97,0.1,1.88,6.4,37.62,6.27,4.47,1.79,0.97,37.62,6.04,133.59,7814,6.09,37.14,5.7,170.71,7814,6.21,6.484 50.,127,-1.73,4.89,0.88
1200S300-118,0.12,2.28,7.75,45.11,7.52,4.45,2.1,0.96,45.11,7.32,165.76,13479,6.06,45.11,7.25,216.94,14373,6.08,11.704 59,0.18,-1.71,4.87,0.88
1200S350-541,0.06,1.17,3.96,24.86,4.14,4.62,1.87,1.27,24.62,3.28,64.78,1321,6.61,24.1,2.77,82.98,1321,7.06,1.244 53.,910,-2.39,5.35,0.8
1200S350-68,0.07,1.46,4.97,31,5.17,4.61,2.31,1.26,31,4.91,96.98,2658,6.12,30.93,4.05,121.11,2658,6.63,2.473 66.,670,-2.38,5.34,0.8
1200S350-97,0.1,2.06,7.01,43.27,7.21,4.58,3.16,1.24,43.27,7.07,154.21,7814,6.05,43.27,6.48,194.06,7814,6.24,7.098 91.,506,-2.35,5.3,0.8
1200S350-118,0.12,2.49,8.48,51.99,8.67,4.57,3.74,1.23,51.99,8.67,192.74,13479,6,51.99,8.34,249.67,14373,6.09,12.821 10,8.58,-2.34,5.27,0.8
1350S162-541,0.06,0.98,3.34,21.23,3.15,4.65,0.22,0.47,21.23,2.59,51.16,1171,7.34,18.3,2.01,60.19,1171,7.8,1.05,8.22,-0.69,4.73,0.98
1350S162-68,0.07,1.23,4.18,26.37,3.91,4.63,0.26,0.46,26.37,3.73,73.78,2354,6.88,24.05,2.93,87.63,2354,7.33,2.08,10.02,-0.68,4.71,0.98
1350S162-97,0.1,1.73,5.88,36.51,5.41,4.6,0.34,0.44,36.51,5.41,129.8,6912,6.75,33.22,4.92,179.07,6912,6.75,5.96,13.34,-0.66,4.67,0.98
1350S200-541,0.06,1.04,3.53,23.69,3.51,4.78,0.4,0.62,23.69,2.96,58.4,1171,7.28,20.07,2.26,67.77,1171,7.74,1.11,14.97,-0.98,4.92,0.96
1350S200-68,0.07,1.3,4.42,29.46,4.37,4.76,0.49,0.62,29.46,4.19,82.88,2354,6.87,26.37,3.27,97.97,2354,7.28,2.2,18.34,-0.97,4.9,0.96
1350S200-97,0.1,1.83,6.23,40.91,6.06,4.73,0.65,0.6,40.91,6.06,140.91,6912,6.75,36.51,5.41,191.87,6912,6.75,6.31,24.7,-0.95,4.86,0.96
1350S250-541,0.06,1.09,3.72,26.25,3.89,4.9,0.7,0.8,26.25,2.99,59.02,1171,7.53,22.91,2.4,71.88,1171,7.88,1.17,25.3,-1.31,5.13,0.94
1350S250-68,0.07,1.37,4.66,32.68,4.84,4.88,0.86,0.79,32.68,4.48,88.48,2354,6.97,29.46,3.63,108.62,2354,7.31,2.32,31.13,-1.3,5.12,0.94
1350S250-97,0.1,1.93,6.57,45.47,6.74,4.85,1.15,0.77,45.47,6.72,151.87,6912,6.76,40.91,6.06,209.07,6912,6.75,6.66,42.26,-1.28,5.08,0.94
1400S137-541,0.06,0.97,3.29,21.32,3.05,4.7,0.12,0.36,21.32,2.39,47.25,1128,7.74,19.73,2.08,62.32,1128,8.16,1.032   5,50.22,-0.49,4.74,0.99
1400S137-68,0.07,1.21,4.12,26.46,3.78,4.68,0.15,0.35,26.46,3.48,68.81,2268,7.24,26.46,3.02,90.5,2268,7.68,2.050   6,60.33,-0.48,4.71,0.99
1400S137-97,0.1,1.7,5.79,36.57,5.22,4.63,0.19,0.33,36.57,5.22,129.02,6656,7,36.57,5.22,156.39,6656,7,5.871   8,80.31,-0.46,4.67,0.99
1400S162-541,0.06,1.01,3.43,23.3,3.33,4.81,0.22,0.46,23.3,2.68,52.88,1128,7.68,21.66,2.34,70.18,1128,8.1,1.078   8,80.93,-0.68,4.88,0.98
1400S162-68,0.07,1.26,4.3,28.95,4.14,4.79,0.26,0.46,28.95,3.84,75.92,2268,7.22,28.95,3.38,101.23,2268,7.63,2.141 10.,10.88,-0.67,4.86,0.98
1400S162-97,0.1,1.78,6.05,40.12,5.73,4.75,0.34,0.44,40.12,5.73,137.52,6656,7,40.12,5.73,171.58,6656,7,6.134 14.,14.49,-0.65,4.81,0.98
1400S162-118,0.12,2.15,7.32,47.93,6.85,4.72,0.39,0.42,47.93,6.85,170.15,12225,7,47.93,6.85,250.51,12225,7,11.065 16,160.8,-0.63,4.78,0.98
1400S200-541,0.06,1.07,3.63,25.95,3.71,4.94,0.41,0.62,25.95,3.06,60.38,1128,7.62,24.72,2.49,74.47,1128,8.23,1.138 16.,250,-0.96,5.07,0.96
1400S200-68,0.07,1.34,4.54,32.28,4.61,4.92,0.49,0.61,32.28,4.32,85.39,2268,7.2,32.28,3.75,112.3,2268,7.65,2.262 19.,920,-0.95,5.05,0.97
1400S200-97,0.1,1.88,6.4,44.85,6.41,4.88,0.66,0.59,44.85,6.41,148.98,6656,7,44.85,6.41,191.84,6656,7,6.484 26.,834,-0.93,5.01,0.97
1400S200-118,0.12,2.28,7.75,53.7,7.67,4.86,0.76,0.58,53.7,7.67,183.85,12225,7,53.7,7.67,271.81,12225,7,11.704 31,0.39,-0.91,4.98,0.97
1400S250-541,0.06,1.12,3.82,28.7,4.1,5.06,0.71,0.79,28.7,3.09,61.06,1128,7.87,27.89,2.6,77.87,1128,8.39,1.198 27.,489,-1.29,5.28,0.94
1400S250-68,0.07,1.41,4.78,35.74,5.11,5.04,0.87,0.78,35.74,4.62,91.25,2268,7.3,35.74,3.63,108.79,2268,8.01,2.383 33.,827,-1.28,5.26,0.94
1400S250-97,0.1,1.98,6.75,49.76,7.11,5.01,1.16,0.77,49.76,7.1,160.28,6656,7.01,49.76,6.89,206.17,6656,7.08,6.835 45.,941,-1.25,5.22,0.94
1400S250-118,0.12,2.4,8.17,59.68,8.53,4.99,1.35,0.75,59.68,8.53,197.58,12225,7,59.68,8.33,286.65,12225,7.06,12.342 54,0.08,-1.24,5.19,0.94
1400S300-68,0.07,1.48,5.03,39.2,5.6,5.15,1.37,0.96,39.2,4.48,88.54,2268,7.64,38.64,3.84,114.94,2268,8.12,2.503 52.,316,-1.62,5.49,0.91
1400S300-97,0.1,2.08,7.09,54.68,7.81,5.12,1.85,0.94,54.68,7.54,166.8,6656,7.09,53.99,7.15,213.99,6656,7.22,7.186 71.,455,-1.6,5.45,0.91
1400S300-118,0.12,2.53,8.59,65.66,9.38,5.1,2.17,0.93,65.66,9.15,207.12,12225,7.06,65.66,9.06,271.26,12225,7.09,12.981 84,0.47,-1.58,5.42,0.92
1400S350-68,0.07,1.6,5.45,44.71,6.39,5.28,2.41,1.23,44.71,5.7,112.64,2268,7.34,44.71,4.69,140.53,2268,7.95,2.715 93.,790,-2.22,5.86,0.86
